file,purpose,first_place_to_look
diagnostic_coefficients_Expenditure_National_diff_intercept_ref_35_54.csv,"Coefficient estimates, standard errors, t statistics, and approximate p-values.","Check signs, magnitudes, and whether uncertainty intervals are wide."
diagnostic_vif_Expenditure_National_diff_intercept_ref_35_54.csv,Variance inflation factors for the external regressors; large values point to multicollinearity.,Check whether age shares or macro variables are too collinear to interpret separately.
diagnostic_correlations_Expenditure_National_diff_intercept_ref_35_54.csv,Pairwise correlations among the external regressors.,Use alongside VIFs to identify which variables move together.
diagnostic_arima_roots_Expenditure_National_diff_intercept_ref_35_54.csv,AR and MA root moduli; values close to 1 suggest near-unit-root or near-noninvertible dynamics.,Check the near_unit_circle flag and root_modulus values.
diagnostic_residuals_Expenditure_National_diff_intercept_ref_35_54.csv,Year-by-year ARIMAX residuals from the estimation sample.,Plot or inspect for large one-off errors and clustered misses.
diagnostic_residual_summary_Expenditure_National_diff_intercept_ref_35_54.csv,"Residual mean, standard deviation, RMSE, MAE, and extrema.",Use RMSE and MAE as compact fit summaries.
diagnostic_ljung_box_Expenditure_National_diff_intercept_ref_35_54.csv,Ljung-Box residual autocorrelation tests at several lags.,Small p-values indicate residual autocorrelation remains after the ARIMA component.
diagnostic_residual_acf_Expenditure_National_diff_intercept_ref_35_54.csv,Residual autocorrelation function by lag.,Look for persistent autocorrelation at low lags.
diagnostic_stationarity_Expenditure_National_diff_intercept_ref_35_54.csv,ADF and KPSS stationarity checks if the tseries package is installed; otherwise records that they were skipped.,Non-stationary regressors can create unstable coefficient estimates and spurious relationships.
diagnostic_driver_ranges_Expenditure_National_diff_intercept_ref_35_54.csv,"Historical and projection ranges for each driver, with out-of-range flags.",Out-of-range projection drivers are extrapolation warnings.
diagnostic_rolling_forecasts_Expenditure_National_diff_intercept_ref_35_54.csv,Rolling holdout forecasts using actual future driver values.,Compare forecast and actual values by origin year and horizon.
diagnostic_model_sensitivity_Expenditure_National_diff_intercept_ref_35_54.csv,Projection sensitivity to alternative regressor sets.,Compare first and final projection values across model variants.
diagnostic_cointegration_test_Expenditure_National_diff_intercept_ref_35_54.csv,Engle-Granger residual ADF diagnostic for a long-run levels relationship.,"If this does not show evidence of a stationary long-run gap, be cautious about the ECM option."
diagnostic_cointegration_residuals_Expenditure_National_diff_intercept_ref_35_54.csv,Residuals from the estimated long-run levels relationship used by the cointegration diagnostic and ECM.,Plot these residuals to see whether the long-run gap looks mean reverting.
diagnostic_coefficients_Expenditure_National_diff_intercept_ref_35_54.png,Coefficient plot with approximate 95 percent intervals.,Visual companion to the coefficient CSV.
diagnostic_rolling_forecasts_Expenditure_National_diff_intercept_ref_35_54.png,Rolling forecast plot against the historical spending/GDP series.,Visual companion to the rolling forecast CSV.
diagnostic_driver_ranges_Expenditure_National_diff_intercept_ref_35_54.png,Driver range plot comparing estimation and projection ranges.,Visual companion to the driver range CSV.
