scenario,measure,country,country_name,scenario_short,scenario_label,transition,damage_curve,mitigation_cost,measure_label,oecd_measure_label,category,unit_hint,frequency,year,value,series_code,series_name,source_dataset,source_url,downloaded_at,base_value,annualised_growth_from_base_pct,change_from_base_pct
BAU1,CO2,AUS,Australia,BAU median damage,"Business as usual, median damage",Business as usual,Median,None,Gross CO2 emissions,"Gross CO2 emissions, million tonnes",Energy and emissions,Million tonnes,A,2025,390.710926200623,AUS.CO2.BAU1.A,"Australia – Gross CO2 emissions, million tonnes – Business-as-usual energy transition, median climate climate damage curve, no carbon mitigation costs – Annual",OECD Economic Outlook 117 long-term scenarios,https://api.db.nomics.world/v22/series/OECD/DSD_EO_LTB%40DF_EO_LTB/AUS.CO2..A?observations=1,2026-05-05 18:05:26 AEST,390.710926200623,,0
BAU1,CO2,AUS,Australia,BAU median damage,"Business as usual, median damage",Business as usual,Median,None,Gross CO2 emissions,"Gross CO2 emissions, million tonnes",Energy and emissions,Million tonnes,A,2030,399.2866,AUS.CO2.BAU1.A,"Australia – Gross CO2 emissions, million tonnes – Business-as-usual energy transition, median climate climate damage curve, no carbon mitigation costs – Annual",OECD Economic Outlook 117 long-term scenarios,https://api.db.nomics.world/v22/series/OECD/DSD_EO_LTB%40DF_EO_LTB/AUS.CO2..A?observations=1,2026-05-05 18:05:26 AEST,390.710926200623,0.435173891542351,2.19488968040109
BAU1,CO2,AUS,Australia,BAU median damage,"Business as usual, median damage",Business as usual,Median,None,Gross CO2 emissions,"Gross CO2 emissions, million tonnes",Energy and emissions,Million tonnes,A,2050,381.2678,AUS.CO2.BAU1.A,"Australia – Gross CO2 emissions, million tonnes – Business-as-usual energy transition, median climate climate damage curve, no carbon mitigation costs – Annual",OECD Economic Outlook 117 long-term scenarios,https://api.db.nomics.world/v22/series/OECD/DSD_EO_LTB%40DF_EO_LTB/AUS.CO2..A?observations=1,2026-05-05 18:05:26 AEST,390.710926200623,-0.0978159370640941,-2.41690865736735
BAU1,CO2,AUS,Australia,BAU median damage,"Business as usual, median damage",Business as usual,Median,None,Gross CO2 emissions,"Gross CO2 emissions, million tonnes",Energy and emissions,Million tonnes,A,2071,359.8366,AUS.CO2.BAU1.A,"Australia – Gross CO2 emissions, million tonnes – Business-as-usual energy transition, median climate climate damage curve, no carbon mitigation costs – Annual",OECD Economic Outlook 117 long-term scenarios,https://api.db.nomics.world/v22/series/OECD/DSD_EO_LTB%40DF_EO_LTB/AUS.CO2..A?observations=1,2026-05-05 18:05:26 AEST,390.710926200623,-0.17879199341615,-7.90208927629775
BAU1,CO2,AUS,Australia,BAU median damage,"Business as usual, median damage",Business as usual,Median,None,Gross CO2 emissions,"Gross CO2 emissions, million tonnes",Energy and emissions,Million tonnes,A,2100,492.8034,AUS.CO2.BAU1.A,"Australia – Gross CO2 emissions, million tonnes – Business-as-usual energy transition, median climate climate damage curve, no carbon mitigation costs – Annual",OECD Economic Outlook 117 long-term scenarios,https://api.db.nomics.world/v22/series/OECD/DSD_EO_LTB%40DF_EO_LTB/AUS.CO2..A?observations=1,2026-05-05 18:05:26 AEST,390.710926200623,0.310002643000429,26.129925464883
BAU1,EFFLABS,AUS,Australia,BAU median damage,"Business as usual, median damage",Business as usual,Median,None,Trend labour efficiency,Trend labour efficiency,Supply-side drivers,Index/level,A,2025,104352.395669383,AUS.EFFLABS.BAU1.A,"Australia – Trend labour efficiency – Business-as-usual energy transition, median climate climate damage curve, no carbon mitigation costs – Annual",OECD Economic Outlook 117 long-term scenarios,https://api.db.nomics.world/v22/series/OECD/DSD_EO_LTB%40DF_EO_LTB/AUS.EFFLABS..A?observations=1,2026-05-05 18:05:26 AEST,104352.395669383,,0
BAU1,EFFLABS,AUS,Australia,BAU median damage,"Business as usual, median damage",Business as usual,Median,None,Trend labour efficiency,Trend labour efficiency,Supply-side drivers,Index/level,A,2030,107491.5,AUS.EFFLABS.BAU1.A,"Australia – Trend labour efficiency – Business-as-usual energy transition, median climate climate damage curve, no carbon mitigation costs – Annual",OECD Economic Outlook 117 long-term scenarios,https://api.db.nomics.world/v22/series/OECD/DSD_EO_LTB%40DF_EO_LTB/AUS.EFFLABS..A?observations=1,2026-05-05 18:05:26 AEST,104352.395669383,0.594523988179896,3.00817658327897
BAU1,EFFLABS,AUS,Australia,BAU median damage,"Business as usual, median damage",Business as usual,Median,None,Trend labour efficiency,Trend labour efficiency,Supply-side drivers,Index/level,A,2050,138640.2,AUS.EFFLABS.BAU1.A,"Australia – Trend labour efficiency – Business-as-usual energy transition, median climate climate damage curve, no carbon mitigation costs – Annual",OECD Economic Outlook 117 long-term scenarios,https://api.db.nomics.world/v22/series/OECD/DSD_EO_LTB%40DF_EO_LTB/AUS.EFFLABS..A?observations=1,2026-05-05 18:05:26 AEST,104352.395669383,1.14291592893916,32.8577069176736
BAU1,EFFLABS,AUS,Australia,BAU median damage,"Business as usual, median damage",Business as usual,Median,None,Trend labour efficiency,Trend labour efficiency,Supply-side drivers,Index/level,A,2071,182939.5,AUS.EFFLABS.BAU1.A,"Australia – Trend labour efficiency – Business-as-usual energy transition, median climate climate damage curve, no carbon mitigation costs – Annual",OECD Economic Outlook 117 long-term scenarios,https://api.db.nomics.world/v22/series/OECD/DSD_EO_LTB%40DF_EO_LTB/AUS.EFFLABS..A?observations=1,2026-05-05 18:05:26 AEST,104352.395669383,1.2278726588731,75.3093437160777
BAU1,EFFLABS,AUS,Australia,BAU median damage,"Business as usual, median damage",Business as usual,Median,None,Trend labour efficiency,Trend labour efficiency,Supply-side drivers,Index/level,A,2100,258328.5,AUS.EFFLABS.BAU1.A,"Australia – Trend labour efficiency – Business-as-usual energy transition, median climate climate damage curve, no carbon mitigation costs – Annual",OECD Economic Outlook 117 long-term scenarios,https://api.db.nomics.world/v22/series/OECD/DSD_EO_LTB%40DF_EO_LTB/AUS.EFFLABS..A?observations=1,2026-05-05 18:05:26 AEST,104352.395669383,1.21594447213103,147.553971658164
